SignalType=Square
Amplitude=232
Frequency=2
PointsCount=1000
time	value
0.444	-232
0.445	-232
0.446	-232
0.447	-232
0.448	-232
0.449	-232
0.45	-232
0.451	-232
0.452	-232
0.453	-232
0.454	-232
0.455	-232
0.456	-232
0.457	-232
0.458	-232
0.459	-232
0.46	-232
0.461	-232
0.462	-232
0.463	-232
0.464	-232
0.465	-232
0.466	-232
0.467	-232
0.468	-232
0.46900000000000003	-232
0.47000000000000003	-232
0.47100000000000003	-232
0.47200000000000003	-232
0.47300000000000003	-232
0.47400000000000003	-232
0.47500000000000003	-232
0.47600000000000003	-232
0.47700000000000004	-232
0.47800000000000004	-232
0.47900000000000004	-232
0.48	-232
0.481	-232
0.482	-232
0.483	-232
0.484	-232
0.485	-232
0.486	-232
0.487	-232
0.488	-232
0.489	-232
0.49	-232
0.491	-232
0.492	-232
0.493	-232
0.494	-232
0.495	-232
0.496	-232
0.497	-232
0.498	-232
0.499	-232
0.5	-232
0.501	232
0.502	232
0.503	232
0.504	232
0.505	232
0.506	232
0.507	232
0.508	232
0.509	232
0.51	232
0.511	232
0.512	232
0.513	232
0.514	232
0.515	232
0.516	232
0.517	232
0.518	232
0.519	232
0.52	232
0.521	232
0.522	232
0.523	232
0.524	232
0.525	232
0.526	232
0.527	232
0.528	232
0.529	232
0.53	232
0.531	232
0.532	232
0.533	232
0.534	232
0.535	232
0.536	232
0.537	232
0.538	232
0.539	232
0.54	232
0.541	232
0.542	232
0.543	232
0.544	232
0.545	232
0.546	232
0.547	232
0.548	232
0.549	232
0.55	232
0.551	232
0.552	232
0.553	232
0.554	232
0.555	232
0.556	232
0.557	232
0.558	232
0.559	232
0.56	232
0.561	232
0.562	232
0.5630000000000001	232
0.5640000000000001	232
0.5650000000000001	232
0.5660000000000001	232
0.5670000000000001	232
0.5680000000000001	232
0.5690000000000001	232
0.5700000000000001	232
0.5710000000000001	232
0.5720000000000001	232
0.5730000000000001	232
0.5740000000000001	232
0.5750000000000001	232
0.5760000000000001	232
0.577	232
0.578	232
0.579	232
0.58	232
0.581	232
0.582	232
0.583	232
0.584	232
0.585	232
0.586	232
0.587	232
0.588	232
0.589	232
0.59	232
0.591	232
0.592	232
0.593	232
0.594	232
0.595	232
0.596	232
0.597	232
0.598	232
0.599	232
0.6	232
0.601	232
0.602	232
0.603	232
0.604	232
0.605	232
0.606	232
0.607	232
0.608	232
0.609	232
0.61	232
0.611	232
0.612	232
0.613	232
0.614	232
0.615	232
0.616	232
0.617	232
0.618	232
0.619	232
0.62	232
0.621	232
0.622	232
0.623	232
0.624	232
0.625	232
0.626	232
0.627	232
0.628	232
0.629	232
0.63	232
0.631	232
0.632	232
0.633	232
0.634	232
0.635	232
0.636	232
0.637	232
0.638	232
0.639	232
0.64	232
0.641	232
0.642	232
0.643	232
0.644	232
0.645	232
0.646	232
0.647	232
0.648	232
0.649	232
0.65	232
0.651	232
0.652	232
0.653	232
0.654	232
0.655	232
0.656	232
0.657	232
0.658	232
